keyword,volume,search_results
سیب اپ,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب ایرانی,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب اپ پشتیبانی,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب اسکچ,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب اپ چیست,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب الفردو,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب آدم,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب اپ مک,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب اسیدی است یا قلیایی,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
سیب ابی,10K+,"[{""domain"": ""example.com"", ""results"": [{""title"": ""Test"", ""link"": ""https://example.com"", ""snippet"": ""Test snippet""}], ""cluster_size"": 1}]"
